Question ID,Question Text,Answer,Strand,Substrand,Year Level,Sub Level,Full Level,Model Used,Suggested Models,Enhanced System Used,Context Type,Generation Status,Questions Generated,Generation Time,Curriculum Reference,Error Message
"C8_Q4","Add together: £79.97, £85.81, £13.26. What is the total?","£179.04","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.759Z,"Year 4 Curriculum",
"C8_Q5","Add together: £17.40, £1.84, £56.59. What is the total?","£75.83","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.759Z,"Year 4 Curriculum",
"C9_Q1","Add together: £215.13, £41.38, £976.61, £58.16. What is the total?","£1291.28","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.774Z,"Year 5 Curriculum",
"C9_Q2","Add together: £302.97, £740.13, £59.68, £666.86. What is the total?","£1769.64","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.774Z,"Year 5 Curriculum",
"C9_Q3","Oliver goes to the shop and buys a pen for £116.94, a eraser for £790.49, a apple for £31.49, a game for £199.03. How much does Oliver spend in total?","£1137.95","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.774Z,"Year 5 Curriculum",
"C9_Q4","Add together: £772.85, £636.91, £890.08, £695.01. What is the total?","£2994.85","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.774Z,"Year 5 Curriculum",
"C9_Q5","Add together: £455.24, £415.62, £146.23, £806.28. What is the total?","£1823.37","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.775Z,"Year 5 Curriculum",
"C10_Q1","Add together: £6912.643, £3790.711, £8878.051, £5291.100, £8553.834. What is the total?","£33426.34","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",6,3,"6.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.790Z,"Year 6 Curriculum",
"C10_Q2","Add together: £682.723, £4750.366, £212.369, £8683.209, £5569.871. What is the total?","£19898.54","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",6,3,"6.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.790Z,"Year 6 Curriculum",
"C10_Q3","Add together: £4943.208, £7287.528, £6676.195, £9849.017, £4508.915. What is the total?","£33264.86","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",6,3,"6.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.790Z,"Year 6 Curriculum",
"C10_Q4","Add together: £4507.847, £9183.388, £5817.114, £3706.047, £1705.433. What is the total?","£24919.83","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",6,3,"6.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.790Z,"Year 6 Curriculum",
"C10_Q5","Add together: £9988.594, £9114.866, £5228.484, £7963.916, £3659.655. What is the total?","£35955.51","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",6,3,"6.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.790Z,"Year 6 Curriculum",
"C11_Q1","Oliver goes to the shop and buys a book for £10, a eraser for £1. How much does Oliver spend in total?","£11","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.804Z,"Year 1 Curriculum",
"C11_Q2","Emma goes to the shop and buys a pencil for £1, a toy for £8. How much does Emma spend in total?","£9","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.804Z,"Year 1 Curriculum",
"C11_Q3","Ryan goes to the shop and buys a poster for £3, a pen for £5. How much does Ryan spend in total?","£8","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.804Z,"Year 1 Curriculum",
"C11_Q4","Tom goes to the shop and buys a book for £3, a eraser for £5. How much does Tom spend in total?","£8","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.804Z,"Year 1 Curriculum",
"C11_Q5","Luke goes to the shop and buys a apple for £10, a book for £4. How much does Luke spend in total?","£14","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.804Z,"Year 1 Curriculum",
"C12_Q1","Daniel goes to the shop and buys a cake for £2, a card for £16. How much does Daniel spend in total?","£18","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.820Z,"Year 2 Curriculum",
"C12_Q2","Amy goes to the shop and buys a chocolate for £5, a cake for £11. How much does Amy spend in total?","£16","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.820Z,"Year 2 Curriculum",
"C12_Q3","Ben goes to the shop and buys a sticker for £17, a eraser for £11. How much does Ben spend in total?","£28","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.820Z,"Year 2 Curriculum",
"C12_Q4","Lily goes to the shop and buys a chocolate for £1, a banana for £1. How much does Lily spend in total?","£2","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.820Z,"Year 2 Curriculum",
"C12_Q5","Sophie goes to the shop and buys a sticker for £6, a sweet for £10. How much does Sophie spend in total?","£16","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.820Z,"Year 2 Curriculum",
"C13_Q1","Add together: £31, £91, £96. What is the total?","£218","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.836Z,"Year 3 Curriculum",
"C13_Q2","Add together: £13, £99, £15. What is the total?","£127","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.836Z,"Year 3 Curriculum",
"C13_Q3","Katie goes to the shop and buys a notebook for £3, a apple for £62, a sticker for £76. How much does Katie spend in total?","£141","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.836Z,"Year 3 Curriculum",
"C13_Q4","Add together: £72, £90, £68. What is the total?","£230","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.836Z,"Year 3 Curriculum",
"C13_Q5","Sarah goes to the shop and buys a banana for £65, a eraser for £31, a game for £78. How much does Sarah spend in total?","£174","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.836Z,"Year 3 Curriculum",
"C14_Q1","Add together: £55.06, £82.39, £92.47. What is the total?","£229.92","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.851Z,"Year 4 Curriculum",
"C14_Q2","James goes to the shop and buys a pencil for £38.78, a biscuit for £11.66, a cake for £68.49. How much does James spend in total?","£118.93","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.851Z,"Year 4 Curriculum",
"C14_Q3","Ben goes to the shop and buys a sandwich for £73.61, a eraser for £29.35, a pen for £14.08. How much does Ben spend in total?","£117.04","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.851Z,"Year 4 Curriculum",
"C14_Q4","Add together: £75.25, £49.53, £89.12. What is the total?","£213.90","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.851Z,"Year 4 Curriculum",
"C14_Q5","Add together: £68.85, £48.00, £36.28. What is the total?","£153.13","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.851Z,"Year 4 Curriculum",
"C15_Q1","Emma goes to the shop and buys a banana for £526.06, a comic for £176.04, a book for £321.41, a game for £984.64. How much does Emma spend in total?","£2008.15","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.866Z,"Year 5 Curriculum",
"C15_Q2","Ben goes to the shop and buys a sweet for £37.35, a sandwich for £884.43, a sticker for £839.62, a banana for £315.43. How much does Ben spend in total?","£2076.83","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.866Z,"Year 5 Curriculum",
"C15_Q3","Add together: £448.17, £533.83, £615.96, £223.70. What is the total?","£1821.66","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.866Z,"Year 5 Curriculum",
"C15_Q4","Add together: £895.37, £252.80, £15.30, £715.15. What is the total?","£1878.62","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.866Z,"Year 5 Curriculum",
"C15_Q5","Add together: £785.94, £782.37, £603.52, £787.90. What is the total?","£2959.73","Addition, subtraction, multiplication and division (calculations)","add / subtract using written methods",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.866Z,"Year 5 Curriculum",
"C16_Q1","Emma goes to the shop and buys a pen for £18, a puzzle for £1. How much does Emma spend in total?","£19","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.882Z,"Year 2 Curriculum",
"C16_Q2","Sophie goes to the shop and buys a card for £16, a pen for £11. How much does Sophie spend in total?","£27","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.883Z,"Year 2 Curriculum",
"C16_Q3","Tom goes to the shop and buys a apple for £20, a magazine for £3. How much does Tom spend in total?","£23","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.883Z,"Year 2 Curriculum",
"C16_Q4","Emily goes to the shop and buys a book for £1, a notebook for £17. How much does Emily spend in total?","£18","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.883Z,"Year 2 Curriculum",
"C16_Q5","Emma goes to the shop and buys a eraser for £1, a cake for £10. How much does Emma spend in total?","£11","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.883Z,"Year 2 Curriculum",
"C17_Q1","Jack starts with £20, then adds £52.82, then subtracts £15.73, then divides by 3. How much does she have now?","£21.05","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",5,3,"5.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.902Z,"Year 5 Curriculum",
"C17_Q2","Alex starts with £12, then adds £43.48, then subtracts £84.16, then divides by 2. How much does she have now?","£46.84","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",5,3,"5.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.902Z,"Year 5 Curriculum",
"C17_Q3","Emily starts with £19, then adds £13.41, then subtracts £24.2, then divides by 2. How much does she have now?","£41.33","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",5,3,"5.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.903Z,"Year 5 Curriculum",
"C17_Q4","Amy starts with £17, then adds £17.56, then subtracts £1.18, then divides by 9. How much does she have now?","£5.91","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",5,3,"5.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.903Z,"Year 5 Curriculum",
"C17_Q5","Sophie starts with £11, then adds £48.15, then subtracts £12.76, then divides by 9. How much does she have now?","£1.37","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",5,3,"5.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.904Z,"Year 5 Curriculum",
"C18_Q1","Hannah starts with £3, then adds £12.98, then subtracts £35.26, then divides by 4. How much does she have now?","£20.49","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",6,3,"6.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.929Z,"Year 6 Curriculum",
"C18_Q2","Sam starts with £5, then adds £21.85, then subtracts £28.26, then divides by 9. How much does she have now?","£3.28","Addition, subtraction, multiplication and division (calculations)","estimate, use inverses and check",6,3,"6.3","MULTI_STEP","MULTI_STEP",No,Money,Completed,5,2025-09-24T11:17:00.929Z,"Year 6 Curriculum",
